freq,unit,deg_urb,rskpovth,geo,time,value
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2007,36.0
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2008,34.2
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2009,33.5
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2010,33.1
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2011,32.4
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2012,32.2
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2013,33.0
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2014,31.4
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2015,32.4
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2016,32.3
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2017,31.6
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2018,30.4
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2019,30.2
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2020,32.3
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2023,
Annual,Percentage,Cities,Below 60%,Belgium,2003,31.9
Annual,Percentage,Cities,Below 60%,Belgium,2004,34.5
Annual,Percentage,Cities,Below 60%,Belgium,2005,30.7
Annual,Percentage,Cities,Below 60%,Belgium,2006,28.7
Annual,Percentage,Cities,Below 60%,Belgium,2007,31.9
Annual,Percentage,Cities,Below 60%,Belgium,2008,34.8
Annual,Percentage,Cities,Below 60%,Belgium,2009,30.2
Annual,Percentage,Cities,Below 60%,Belgium,2010,29.5
Annual,Percentage,Cities,Below 60%,Belgium,2011,30.5
Annual,Percentage,Cities,Below 60%,Belgium,2012,30.2
Annual,Percentage,Cities,Below 60%,Belgium,2013,30.5
Annual,Percentage,Cities,Below 60%,Belgium,2014,35.4
