geo,year,crime_rate,noise_rate,pollution_rate,hpi_weight,happy_rate,deg_urb_Rural areas,deg_urb_Towns and suburbs,rskpovth_Below 60%,rskpovth_Total,crime_noise,poll_noise
Czechia,2013,19.0,16.2,18.0,0.0,8.1,False,True,True,False,307.8,291.59999999999997
Czechia,2018,10.3,17.5,15.2,8.6,8.2,False,True,True,False,180.25,266.0
Czechia,2023,4.7,15.7,6.5,-1.7,8.2,False,True,True,False,73.79,102.05
Denmark,2013,4.9,25.4,7.2,3.9,8.0,False,True,True,False,124.46000000000001,182.88
Denmark,2018,9.5,35.2,12.0,4.4,7.6,False,True,True,False,334.40000000000003,422.40000000000003
Denmark,2023,5.4,13.6,10.1,-3.8,7.5,False,True,True,False,73.44,137.35999999999999
Germany,2013,15.1,30.5,21.6,3.1,7.7,False,True,True,False,460.55,658.8000000000001
Germany,2018,15.1,30.9,22.4,6.6,8.0,False,True,True,False,466.59,692.16
Germany,2023,9.9,26.1,13.4,-8.4,7.5,False,True,True,False,258.39000000000004,349.74
Estonia,2013,13.6,8.2,14.9,10.7,7.6,False,True,True,False,111.51999999999998,122.17999999999999
Estonia,2018,6.5,7.5,6.3,5.9,7.9,False,True,True,False,48.75,47.25
Estonia,2023,2.8,6.4,12.5,5.9,7.7,False,True,True,False,17.919999999999998,80.0
Ireland,2013,15.6,13.6,9.4,1.2,7.5,False,True,True,False,212.16,127.84
Ireland,2018,13.1,19.9,11.9,10.2,8.4,False,True,True,False,260.69,236.81
Ireland,2023,9.3,13.1,4.5,3.1,7.7,False,True,True,False,121.83000000000001,58.949999999999996
Spain,2013,11.0,14.9,8.1,-9.1,7.5,False,True,True,False,163.9,120.69
Spain,2018,9.5,19.2,11.5,6.7,8.0,False,True,True,False,182.4,220.79999999999998
Spain,2023,12.0,24.0,9.8,4.0,7.6,False,True,True,False,288.0,235.20000000000002
France,2013,18.9,20.2,13.5,-1.9,7.6,False,True,True,False,381.78,272.7
France,2018,17.5,19.8,11.4,2.9,7.8,False,True,True,False,346.5,225.72000000000003
