freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2004,22350.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2005,23100.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2006,23790.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2007,24480.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2008,24740.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2009,23600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2010,23510.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2011,23020.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2012,21930.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2013,20510.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2014,20170.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2015,20810.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2016,22060.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2017,23130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2018,24300.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2019,25390.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2020,24240.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2021,26600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2022,28390.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2023,28860.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2024,29480.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2025,30110.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1995,10320.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1996,10770.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1997,10720.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1998,10690.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1999,10850.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2000,11290.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2001,11680.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2002,11880.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2003,12270.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2004,12850.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2005,13630.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2006,14490.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2007,15200.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2008,15430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2009,14610.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2010,14970.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2011,15260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2012,15130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2013,15130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2014,15470.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2015,16230.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2016,16640.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2017,17490.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2018,17960.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2019,18570.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2020,17670.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2021,18380.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2022,18450.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2023,18260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2024,18460.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2025,18930.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Germany,1995,28980.0
