freq,purchase,unit,geo,year,hpi_weight
Annual,Total,"Annual average index, 2010=100",Portugal,2009,99.24
Annual,Total,"Annual average index, 2010=100",Portugal,2010,100.0
Annual,Total,"Annual average index, 2010=100",Portugal,2011,95.1
Annual,Total,"Annual average index, 2010=100",Portugal,2012,88.38
Annual,Total,"Annual average index, 2010=100",Portugal,2013,86.71
Annual,Total,"Annual average index, 2010=100",Portugal,2014,90.39
Annual,Total,"Annual average index, 2010=100",Portugal,2015,93.15
Annual,Total,"Annual average index, 2010=100",Portugal,2016,99.77
Annual,Total,"Annual average index, 2010=100",Portugal,2017,109.0
Annual,Total,"Annual average index, 2010=100",Portugal,2018,120.19
Annual,Total,"Annual average index, 2010=100",Portugal,2019,132.16
Annual,Total,"Annual average index, 2010=100",Portugal,2020,143.75
Annual,Total,"Annual average index, 2010=100",Portugal,2021,157.27
Annual,Total,"Annual average index, 2010=100",Portugal,2022,177.14
Annual,Total,"Annual average index, 2010=100",Portugal,2023,191.66
Annual,Total,"Annual average index, 2010=100",Portugal,2024,209.06
Annual,Total,"Annual average index, 2010=100",Portugal,2025,245.77
Annual,Total,"Annual average index, 2010=100",Romania,2009,108.15
Annual,Total,"Annual average index, 2010=100",Romania,2010,100.0
Annual,Total,"Annual average index, 2010=100",Romania,2011,87.69
Annual,Total,"Annual average index, 2010=100",Romania,2012,83.25
Annual,Total,"Annual average index, 2010=100",Romania,2013,83.03
Annual,Total,"Annual average index, 2010=100",Romania,2014,81.33
Annual,Total,"Annual average index, 2010=100",Romania,2015,83.65
Annual,Total,"Annual average index, 2010=100",Romania,2016,88.63
Annual,Total,"Annual average index, 2010=100",Romania,2017,93.99
Annual,Total,"Annual average index, 2010=100",Romania,2018,99.23
Annual,Total,"Annual average index, 2010=100",Romania,2019,102.63
Annual,Total,"Annual average index, 2010=100",Romania,2020,107.44
Annual,Total,"Annual average index, 2010=100",Romania,2021,112.17
Annual,Total,"Annual average index, 2010=100",Romania,2022,120.21
Annual,Total,"Annual average index, 2010=100",Romania,2023,124.17
Annual,Total,"Annual average index, 2010=100",Romania,2024,130.4
Annual,Total,"Annual average index, 2010=100",Romania,2025,137.87
Annual,Total,"Annual average index, 2010=100",Slovenia,2007,103.11
Annual,Total,"Annual average index, 2010=100",Slovenia,2008,110.32
Annual,Total,"Annual average index, 2010=100",Slovenia,2009,99.87
Annual,Total,"Annual average index, 2010=100",Slovenia,2010,100.0
Annual,Total,"Annual average index, 2010=100",Slovenia,2011,102.71
Annual,Total,"Annual average index, 2010=100",Slovenia,2012,95.64
Annual,Total,"Annual average index, 2010=100",Slovenia,2013,90.62
Annual,Total,"Annual average index, 2010=100",Slovenia,2014,84.64
