freq,citizen,agedef,age,unit,sex,geo,time,value
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2023,303275.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2024,300496.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2013,17757.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2014,23077.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2015,36849.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2016,37644.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2017,46649.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2018,55357.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2019,95382.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2020,83654.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2021,97119.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2022,167098.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2023,189367.0
Annual,Total,Age reached during the year,Total,Number,Total,Portugal,2024,
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2013,153646.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2014,136035.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2015,132795.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2016,137455.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2017,177435.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2018,172578.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2019,202422.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2020,145519.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2021,194642.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2022,293024.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2023,324091.0
Annual,Total,Age reached during the year,Total,Number,Total,Romania,2024,286538.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2013,13871.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2014,13846.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2015,15420.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2016,16623.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2017,18808.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2018,28455.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2019,31319.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2020,36110.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2021,23624.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2022,35613.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2023,33939.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovenia,2024,33023.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2013,5149.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2014,5357.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2015,6997.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2016,7686.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2017,7188.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2018,7253.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2019,7016.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2020,6775.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2021,5733.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2022,5463.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2023,5923.0
Annual,Total,Age reached during the year,Total,Number,Total,Slovakia,2024,6824.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2013,31941.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2014,31507.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2015,28746.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2016,34905.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2017,31797.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2018,31106.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2019,32758.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2020,32898.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2021,36364.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2022,49998.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2023,73236.0
Annual,Total,Age reached during the year,Total,Number,Total,Finland,2024,63965.0
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,2013,115845.0
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,2014,126966.0
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,2015,134240.0
Annual,Total,Age reached during the year,Total,Number,Total,Sweden,2016,163005.0
