currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Rye,Denmark,2021,17.07,9.337260273972602,679.5,14.37,15.28
Euro,Rye,Denmark,2022,25.32,9.875068493150684,554.8,17.07,14.37
Euro,Rye,Denmark,2023,22.1,9.763287671232876,829.3,25.32,17.07
Euro,Rye,Denmark,2024,19.5,10.08224043715847,704.6,22.1,25.32
Euro,Soft wheat,Denmark,2017,14.97,9.23890410958904,838.8,14.1,15.5
Euro,Soft wheat,Denmark,2018,16.85,10.105479452054794,472.9,14.97,14.1
Euro,Soft wheat,Denmark,2019,17.97,10.11917808219178,729.6,16.85,14.97
Euro,Soft wheat,Denmark,2020,16.64,10.451639344262295,632.6,17.97,16.85
Euro,Soft wheat,Denmark,2021,19.48,9.337260273972602,679.5,16.64,17.97
Euro,Soft wheat,Denmark,2022,27.37,9.875068493150684,554.8,19.48,16.64
Euro,Soft wheat,Denmark,2023,25.17,9.763287671232876,829.3,27.37,19.48
Euro,Soft wheat,Denmark,2024,21.24,10.08224043715847,704.6,25.17,27.37
Euro,Barley,Estonia,2017,13.56,6.229041095890411,772.2,12.76,14.88
Euro,Barley,Estonia,2018,15.73,7.122191780821917,561.1,13.56,12.76
Euro,Barley,Estonia,2019,15.45,7.262739726027397,788.2,15.73,13.56
Euro,Barley,Estonia,2020,14.58,8.033879781420765,811.2,15.45,15.73
Euro,Barley,Estonia,2021,18.23,6.611780821917809,748.9,14.58,15.45
Euro,Barley,Estonia,2022,27.49,6.941095890410959,691.4,18.23,14.58
Euro,Barley,Estonia,2023,19.62,6.896986301369863,889.0,27.49,18.23
Euro,Barley,Estonia,2024,17.13,7.873770491803279,796.3,19.62,27.49
Euro,Feed barley,Estonia,2017,13.56,6.229041095890411,772.2,12.76,14.88
Euro,Feed barley,Estonia,2018,15.73,7.122191780821917,561.1,13.56,12.76
Euro,Feed barley,Estonia,2019,15.45,7.262739726027397,788.2,15.73,13.56
Euro,Feed barley,Estonia,2020,14.58,8.033879781420765,811.2,15.45,15.73
Euro,Feed barley,Estonia,2021,18.23,6.611780821917809,748.9,14.58,15.45
Euro,Feed barley,Estonia,2022,27.49,6.941095890410959,691.4,18.23,14.58
Euro,Feed barley,Estonia,2023,19.62,6.896986301369863,889.0,27.49,18.23
Euro,Feed barley,Estonia,2024,17.13,7.873770491803279,796.3,19.62,27.49
Euro,Rye,Estonia,2017,12.43,6.229041095890411,772.2,11.67,12.14
Euro,Rye,Estonia,2018,14.28,7.122191780821917,561.1,12.43,11.67
Euro,Rye,Estonia,2019,13.65,7.262739726027397,788.2,14.28,12.43
Euro,Rye,Estonia,2020,11.88,8.033879781420765,811.2,13.65,14.28
Euro,Rye,Estonia,2021,15.3,6.611780821917809,748.9,11.88,13.65
Euro,Rye,Estonia,2022,24.81,6.941095890410959,691.4,15.3,11.88
Euro,Rye,Estonia,2023,16.78,6.896986301369863,889.0,24.81,15.3
Euro,Rye,Estonia,2024,14.65,7.873770491803279,796.3,16.78,24.81
Euro,Soft wheat,Estonia,2017,15.5,6.229041095890411,772.2,14.64,15.97
Euro,Soft wheat,Estonia,2018,16.41,7.122191780821917,561.1,15.5,14.64
Euro,Soft wheat,Estonia,2019,16.79,7.262739726027397,788.2,16.41,15.5
Euro,Soft wheat,Estonia,2020,16.78,8.033879781420765,811.2,16.79,16.41
Euro,Soft wheat,Estonia,2021,21.1,6.611780821917809,748.9,16.78,16.79
Euro,Soft wheat,Estonia,2022,32.02,6.941095890410959,691.4,21.1,16.78
Euro,Soft wheat,Estonia,2023,23.8,6.896986301369863,889.0,32.02,21.1
Euro,Soft wheat,Estonia,2024,20.85,7.873770491803279,796.3,23.8,32.02
