name,domains,web_pages,country,alpha_two_code,state-province
International Business School of Scandinavia,['ibss.eu'],['http://www.ibss.eu/'],Denmark,DK,
Engineering College of Aarhus,['iha.dk'],['http://www.iha.dk/'],Denmark,DK,
Engineering College of Copenhagen,['ihk.dk'],['http://www.ihk.dk/'],Denmark,DK,
International People's College,['ipc.dk'],['http://www.ipc.dk/'],Denmark,DK,
IT University of Copenhagen,['itu.dk'],['http://www.itu.dk/'],Denmark,DK,
"Royal Danish Academy of Fine Arts, School of Architecture",['karch.dk'],['http://www.karch.dk/'],Denmark,DK,
Knightsbridge University,['knightsbridgeuniversity.com'],['http://www.knightsbridgeuniversity.com/'],Denmark,DK,
University of Copenhagen,['ku.dk'],['http://www.ku.dk/'],Denmark,DK,
"Royal Danish Academy of Fine Arts, School of Visual Art",['kunstakademiet.dk'],['http://www.kunstakademiet.dk/'],Denmark,DK,
Royal Veterinary and Agricultural University,['kvl.dk'],['http://www.kvl.dk/'],Denmark,DK,
Royal Academy of Music,['musik-kons.dk'],['http://www.musik-kons.dk/'],Denmark,DK,
Odense University,['ou.dk'],['http://www.ou.dk/'],Denmark,DK,
Roskilde University,['ruc.dk'],['http://www.ruc.dk/'],Denmark,DK,
University of Southern Denmark - SDU,['sdu.dk'],['http://www.sdu.dk/'],Denmark,DK,
Lutheran School Of Theology In Aarhus,['teologi.dk'],['http://www.teologi.dk/'],Denmark,DK,
Tietgen Business College,['tietgen.dk'],['http://www.tietgen.dk/'],Denmark,DK,
VIA University College,['en.via.dk'],['https://en.via.dk/'],Denmark,DK,
Estonian Academy of Arts,['artun.ee'],['http://www.artun.ee/'],Estonia,EE,
Estonian Business School,['ebs.ee'],['http://www.ebs.ee/'],Estonia,EE,
Estonian Academy of Music and Theatre,['ema.edu.ee'],['http://www.ema.edu.ee/'],Estonia,EE,
Estonian University of Life Sciences,['emu.ee'],['http://www.emu.ee/'],Estonia,EE,
Tartu Health Care College,['nooruse.ee'],['http://www.nooruse.ee/'],Estonia,EE,
Estonian Academy of Security Sciences,['sisekaitse.ee'],['http://www.sisekaitse.ee/'],Estonia,EE,
University of Applied Sciences,['tktk.ee'],['http://www.tktk.ee/'],Estonia,EE,
Tallinn University,['tlu.ee'],['http://www.tlu.ee/'],Estonia,EE,
Tallinn University of Technology,['ttu.ee'],['http://www.ttu.ee/'],Estonia,EE,
University of Tartu,['ut.ee'],['http://www.ut.ee/'],Estonia,EE,
Abo Akademi University,['abo.fi'],['http://www.abo.fi/'],Finland,FI,
Central Ostrobothnia University of Applied Sciences,['cou.fi'],['http://www.cou.fi/'],Finland,FI,
Diaconia University of Applied Sciences,['diak.fi'],['http://www.diak.fi/'],Finland,FI,
EVTEK University of Applied Sciences,['evtek.fi'],['http://www.evtek.fi/'],Finland,FI,
University of Helsinki,['helsinki.fi'],['http://www.helsinki.fi/'],Finland,FI,
Helsinki School of Economics and Business Administration,['hkkk.fi'],['http://www.hkkk.fi/'],Finland,FI,
Helsinki University of Technology,['hut.fi'],['http://www.hut.fi/'],Finland,FI,
